;2025,P1,paper1.pdf,marking.pdf#2;2025,P2,paper2.pdf,marking.pdf;2024,P1,paper1.pdf,marking.pdf#2;2024,P2,paper2.pdf,marking.pdf;2023,P1,paper1.pdf,marking.pdf#2;2023,P2,paper2.pdf,marking.pdf;2022,P1,paper1.pdf,marking.pdf#2;2022,P2,paper2.pdf,marking.pdf;2021,P1,paper1.pdf,marking.pdf#2;2021,P2,paper2.pdf,marking.pdf;2019,P1,paper1.pdf,marking.pdf#2;2019,P2,paper2.pdf,marking.pdf;2018,P1,paper1.pdf,marking.pdf#5;2018,P2,paper2.pdf,marking.pdf;2017,P1,paper1.pdf,marking.pdf#5;2017,P2,paper2.pdf,marking.pdf;2016,P1,paper1.pdf,marking.pdf#5;2016,P2,paper2.pdf,marking.pdf;2015,P1,paper1.pdf,marking.pdf#5;2015,P2,paper2.pdf,marking.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Motion;1,3/2,4;1a,5,7;1,3/2,4;2b(i),9,9/6a(iii),21,15;1,3/2,4;1,4,7;1,3/2,4;2a(i),6,9;1,3/2,4/3,5;1b-c,5,8;1,3/3,4/4,5;1a,5,7/1c,7,9;1,3/2,3;;1,3;1a,6,6/3,10,8;1,3/2,3;;1,3/2,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Forces, Energy and Power;3,5/4,5/5,6;1b,6,8;3,5/5,6;2,8,9/4b(i),15,11/6a(ii),21,15;4,5;2,6,8;3,5/4,6/5,7/6,7;2a(ii),7,9;4,5/5,6/6,6;1d,5,8/2a,6,9/9a,24,16/15a,39,23;5,6;2,8,10;3,4/4,4;2,8,8;2,3/3,4;;3,4;2c,9,7;3,4/4,4/5,5/6,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Collision, Explosions, and Impulse;6,6/7,7;2a-c,8,9;6,7;1b(ii),7,8/4b(ii),16,11;3,4;3,8,9;;3a-c,8,10;7,7;3,8,10;6,6;1b,6,8;;3,12,10;;2,8,7;4,4;3,12,9;;2,9,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gravitation;;5c,18,14;4,6;1a,4,7/4a(ii),15,11;5,6/6,6;;;1,4,7/5c,18,14;;1,4,8/5a,12,12;2,3;4,12,12;5,4;1,6,6;;5a(ii),14,11/5b(ii),15,11;5,5;1,6,6;;1,6,6/3,12,10;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Special Relitivity;8,7;4,14,12;7,7/8,7;;7,7;4,12,10;7,8;6c-d,21,15;9,7/10,8;7b,20,14;8,7;7c(ii),19,15;6,5/7,5;;4,4;7d,19,13;;4,14,10;7,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
The Expanding Universe;9,8;2d,10,10/5b,17,13/10c-d,36,23;9,8;1b(i),6,8/5,18,12;8,7/9,8;5a,15,11/10c(ii)(c),30,19;8,8/9,8;5a-b,15,14;11,8/12,8;2b,7,9/6b-c,18,13;9,8/10,8;5,14,13/6,16,14;;5,16,12/10c,33,21;5,5/6,5/7,5;1b,7,6/5b(i),15,11;6,5/7,6;5,16,10;8,6;4b,14,11;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Forces on Charged Particles;10,8/11,9;;;6a(i),20,15/6b,22,15;10,9;7b-c,22,14;10,9;7,24,17;13,9;7a,19,14/7c(ii),20,14/8b(i-iii),22,15;11,9/12,10;;10,6;6,18,14;;8,20,14;;7,20,12/8d,23,13;10,6/11,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
The Standard Model;;5a,16,13/6b-c,21,15;10,8/11,9;4a(i),14,11;11,10;7a(ii),21,14;11,9/12,10;6a-b,20,15;14,10/15,10;5b(ii),14,12/7c(i),20,14/7d(i),21,14;13,11;7a-c(i),18,15;8,5/9,5;;;5a(i),14,11/7a-c,18,13;8,6/9,7;;9,6;6,17,13;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nuclear Reactions;12,9;6a,20,15;12,9/13,9;;12,10;7a(i),21,14;13,10/14,11;;16,10;7d(ii),21,14;14,11;7d,20,15/8,22,16;11,6;;8,6;9,22,15;10,7;8a-c,22,13;12,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Inverse Square Law;13,10;7,24,17;14,10;8b,27,18;;8,24,15;15,11;8a,28,18;;9b(i-ii),25,16;;9a(ii)-b,25,17;12,6;;14,9/15,9;;15,9;;;8,20,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wave-Particle Duality;14,10/15,11;8,28,19;;9,30,19;13,10/14,11;5b(iii)(a),17,12;;9,32,20;17,11;8a,22,15;15,12/16,13;;;7,22,16;9,6/10,7;;11,8/12,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interference;16,12;9,30,20;15,10;10,34,20;15,11/16,12;;16,12;10,34,21;18,12;5b(i),13,12/10,28,18;17,13;10,26,19;13,7;8,25,17;11,7;10,24,17;13,9;9,24,14;13,8;9b,23,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Spectra;;10a-b,34,22;16,11;11,36,21;17,13;10,28,18;;8b,30,18;;6a,16,13;19,14;9a(i),24,17;;10a-b,31,20;;6,16,12;16,10;12b(ii),31,18;16,9;4a,14,11;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Refraction of Light;17,13/18,13;;17,11;12,38,24;18,14;11,32,20;17,13;11,36,22;19,12/20,13;12,32,20;18,14;11,28,20;14,8;9,28,18;12,8/13,8;;14,9;10,26,15;15,9;9a,22,17;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Monitoring and Measuring AC;;11,38,24;;13,40,25;19,14;;18,13;;;13,34,21;20,15/21,16;;;12,38,23;16,10;;17,11;;17,10/18,10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Current, Potential Difference, Power, and Resistance;19,14/20,15;;18,11/19,12;15a,46,28;20,15;;19,14/20,14;;21,13/22,14;;23,17;;15,9/16,9;2a(ii),9,8/12b,40,23;;14b(i),33,21;18,12/19,13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Electrical Sources and Internal Resistance;21,16/22,17;;20,12;14,42,26;21,16;12,34,22;21,15;12,38,23;;14,36,22;;12,30,21;;11a-b,34,22;;12,28,19;;12a,29,17;;10,25,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Capacitors;;12,41,25;21,13/22,14;;22,17;13a(i),36,24;22,15/23,16;13,42,24;23,14/24,14/25,15;;;13,32,22;17,10/18,10/19,11;;17,10/18,11;13,31,21;20,13;13,32,19;;11,30,21;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Semiconductors and p-n Junctions;23,17;;23,16/24,17/25,17;15b,47,28;23,17;5b,16,11;24,17;3d,10,12;;9b(iii),27,16;24,18;14,36,24;;11c,36,22;19,11;14a,32,21/14b(ii),33,21;;12b(i),30,18;19,11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Open Ended;;3,12,11/13,44,26;;3,12,10/7,24,16;;6,18,13/9,26,17;;4,12,13/6e,22,16;;4,10,11/11,30,19;;3,10,11/13d,34,23;;4,15,11/6c,20,15;;4,12,10/11,26,18;;6,19,11/11,28,16;;5,16,12/7,18,14;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unseen Formula and Graphs;25,18;14,46,27;;8a,27,17/16,48,29;24,18/25,19;13b,37,24/14,38,25;25,17;14,44,25;8,7;15b,40,23;7,7;5b,15,13/15,39,25;;13,41,25;20,12;15,34,22;;14,34,20;20,11;12,33,23;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Uncertainties;24,18;;;8c,28,18;;13a(ii),37,24;;2b,7,9;;10a,28,18;22,17/25,18;;20,12;;;;;2a-b,8,7;14,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
